Date,Open,High,Low,Close,Volume
2020-12-30,13980.9,13997,13864.95,13981.95,380681000
2020-12-31,13970,14024.85,13936.45,13981.75,452410000
2021-01-01,13996.1,14049.85,13991.35,14018.5,258090905
2021-01-04,14104.35,14147.95,13953.75,14132.9,494999295
2021-01-05,14075.15,14215.6,14048.15,14199.5,492475349
2021-01-06,14240.95,14244.15,14039.9,14146.25,632323316
2021-01-07,14253.75,14256.25,14123.1,14137.35,559173512
2021-01-08,14258.4,14367.3,14221.65,14347.25,613472067
2021-01-11,14474.05,14498.2,14383.1,14484.75,672878543
2021-01-12,14473.8,14590.65,14432.85,14563.45,929566952
2021-01-13,14639.8,14653.35,14435.7,14564.85,873956688
2021-01-14,14550.05,14617.8,14471.5,14595.6,620194977
2021-01-15,14594.35,14617.45,14357.85,14433.7,789557216
2021-01-18,14453.3,14459.15,14222.8,14281.3,762043554
2021-01-19,14371.65,14546.05,14350.85,14521.15,546108304
2021-01-20,14538.3,14666.45,14517.55,14644.7,623069963
2021-01-21,14730.95,14753.55,14517.25,14590.35,704646957
2021-01-22,14583.4,14619.9,14357.75,14371.9,776750347
2021-01-25,14477.8,14491.1,14218.6,14238.9,618631493
2021-01-27,14237.95,14237.95,13929.3,13967.5,660711117
2021-01-28,13810.4,13898.25,13713.25,13817.55,637871621
2021-01-29,13946.6,13966.85,13596.75,13634.6,753206122
2021-02-01,13758.6,14336.35,13661.75,14281.2,870529495
2021-02-02,14481.1,14731.7,14469.15,14647.85,914965225
2021-02-03,14754.9,14868.85,14574.15,14789.95,869477087
2021-02-04,14789.05,14913.7,14714.75,14895.65,884686415
2021-02-05,14952.6,15014.65,14864.75,14924.25,935629058
2021-02-08,15064.3,15159.9,15041.05,15115.8,671242694
2021-02-09,15164.15,15257.1,15064.3,15109.3,713279133
2021-02-10,15119.05,15168.25,14977.2,15106.5,624791133
2021-02-11,15073.25,15188.5,15065.4,15173.3,500122414
2021-02-12,15186.2,15243.5,15081,15163.3,571808807
2021-02-15,15270.3,15340.15,15243.4,15314.7,455959720
2021-02-16,15371.45,15431.75,15242.2,15313.45,648545320
2021-02-17,15279.9,15314.3,15170.75,15208.9,504767226
2021-02-18,15238.7,15250.75,15078.05,15118.95,770629541
2021-02-19,15074.8,15144.05,14898.2,14981.75,712213821
2021-02-22,14999.05,15010.1,14635.05,14675.7,609898454
2021-02-23,14782.25,14854.5,14651.85,14707.8,744092809
2021-02-24,14729.15,15008.8,14723.05,14982,403754669
2021-02-25,15079.85,15176.5,15065.35,15097.35,803883875
2021-02-26,14888.6,14919.45,14467.75,14529.15,1103644519
2021-03-01,14702.5,14806.8,14638.55,14761.55,507302977
2021-03-02,14865.3,14959.1,14760.8,14919.1,621723916
2021-03-03,15064.4,15273.15,14995.8,15245.6,544205583
2021-03-04,15026.75,15202.35,14980.2,15080.75,534850447
2021-03-05,14977.95,15092.35,14862.1,14938.1,640700362
2021-03-08,15002.45,15111.15,14919.9,14956.2,580308065
2021-03-09,15049.9,15126.85,14925.45,15098.4,675271251
2021-03-10,15202.15,15218.45,15100.85,15174.8,404585756
2021-03-12,15321.15,15336.3,14953.6,15030.95,493238854
2021-03-15,15048.4,15048.4,14745.85,14929.5,467473367
2021-03-16,14996.1,15051.6,14890.65,14910.45,437651327
2021-03-17,14946.55,14956.55,14696.05,14721.3,479352147
2021-03-18,14855.5,14875.2,14478.6,14557.85,542216908
2021-03-19,14471.15,14788.25,14350.1,14744,919178208
2021-03-22,14736.3,14763.9,14597.85,14736.4,458997059
2021-03-23,14768.55,14878.6,14707,14814.75,474150088
2021-03-24,14712.45,14752.35,14535,14549.4,456403503
2021-03-25,14570.9,14575.6,14264.4,14324.9,606820996
2021-03-26,14506.3,14572.9,14414.25,14507.3,481000845
2021-03-30,14628.5,14876.3,14617.6,14845.1,594520567
2021-03-31,14811.85,14813.75,14670.25,14690.7,436874691
2021-04-01,14798.4,14883.2,14692.45,14867.35,430028476
2021-04-05,14837.7,14849.85,14459.5,14637.8,500476690
2021-04-06,14737,14779.1,14573.9,14683.5,474211156
2021-04-07,14716.45,14879.8,14649.85,14819.05,476382016
2021-04-08,14875.65,14984.15,14821.1,14873.8,503728173
2021-04-09,14882.65,14918.45,14785.65,14834.85,498347599
2021-04-12,14644.65,14652.5,14248.7,14310.8,638475842
2021-04-13,14364.9,14528.9,14274.9,14504.8,588666016
2021-04-15,14522.4,14597.55,14353.2,14581.45,556851211
2021-04-16,14599.6,14697.7,14559,14617.85,568568743
2021-04-19,14306.6,14382.3,14191.4,14359.45,503142904
2021-04-20,14526.7,14526.95,14207.3,14296.4,456704716
2021-04-22,14219.15,14424.75,14151.4,14406.15,516985252
2021-04-23,14326.35,14461.15,14273.3,14341.35,476613608
2021-04-26,14449.45,14557.5,14421.3,14485,448533329
2021-04-27,14493.8,14667.55,14484.85,14653.05,442211685
2021-04-28,14710.5,14890.25,14694.95,14864.55,453990807
2021-04-29,14979,15044.35,14814.45,14894.9,511466673
2021-04-30,14747.35,14855.45,14601.7,14631.1,594744498
2021-05-03,14481.05,14673.85,14416.25,14634.15,443410846
2021-05-04,14687.25,14723.4,14461.5,14496.5,479657079
2021-05-05,14604.15,14637.9,14506.6,14617.85,437261063
2021-05-06,14668.35,14743.9,14611.5,14724.8,445281496
2021-05-07,14816.85,14863.05,14765.5,14823.15,483677266
2021-05-10,14928.25,14966.9,14892.5,14942.35,510598577
2021-05-11,14789.7,14900,14771.4,14850.75,616204478
2021-05-12,14823.55,14824.05,14649.7,14696.5,620318215
2021-05-14,14749.4,14749.65,14591.9,14677.8,602738614
2021-05-17,14756.25,14938,14725.35,14923.15,534516176
2021-05-18,15067.2,15137.25,15043.7,15108.1,571923125
2021-05-19,15058.6,15133.4,15008.85,15030.15,563293717
2021-05-20,15042.6,15069.8,14884.9,14906.05,467455658
2021-05-21,14987.8,15190,14985.85,15175.3,557730470
2021-05-24,15211.35,15256.25,15145.45,15197.7,566722866
2021-05-25,15291.75,15293.85,15163.4,15208.45,417323446
2021-05-26,15257.05,15319.9,15194.95,15301.45,377682051
2021-05-27,15323.95,15384.55,15272.5,15337.85,682374351
2021-05-28,15421.2,15469.65,15394.75,15435.65,455582440
2021-05-31,15437.75,15606.35,15374,15582.8,435999456
2021-06-01,15629.65,15660.75,15528.3,15574.85,409562322
2021-06-02,15520.35,15597.45,15459.85,15576.2,428641666
2021-06-03,15655.55,15705.1,15611,15690.35,410240584
2021-06-04,15712.5,15733.6,15622.35,15670.25,414162241
2021-06-07,15725.1,15773.45,15678.1,15751.65,393970049
2021-06-08,15773.9,15778.8,15680,15740.1,378164658
2021-06-09,15766.3,15800.45,15566.9,15635.35,457855735
2021-06-10,15692.1,15751.25,15648.5,15737.75,298297041
2021-06-11,15796.45,15835.55,15749.8,15799.35,363011297
2021-06-14,15791.4,15823.05,15606.5,15811.85,392862037
2021-06-15,15866.95,15901.6,15842.4,15869.25,323262818
2021-06-16,15847.5,15880.85,15742.6,15767.55,340191175
2021-06-17,15648.3,15769.35,15616.75,15691.4,357649243
2021-06-18,15756.5,15761.5,15450.9,15683.35,640821642
2021-06-21,15525.85,15765.15,15505.65,15746.5,351530000
2021-06-22,15840.5,15895.75,15752.1,15772.75,322238000
2021-06-23,15862.8,15862.95,15673.95,15686.95,287537000
2021-06-24,15737.3,15821.4,15702.7,15790.45,316662241
2021-06-25,15839.35,15870.8,15772.3,15860.35,314614380
2021-06-28,15915.35,15915.65,15792.15,15814.7,255099272
2021-06-29,15807.5,15835.9,15724.05,15748.45,360334724
2021-06-30,15776.9,15839.1,15708.75,15721.5,262386323
2021-07-01,15755.05,15755.55,15667.05,15680,224921644
2021-07-02,15705.85,15738.35,15635.95,15722.2,254808999
2021-07-05,15793.4,15845.95,15762.05,15834.35,207032153
2021-07-06,15813.75,15914.2,15801,15818.25,391410742
